cve_edo,Municipio,PD1,PD2,PD3,Total
31, ABALA,430729.66,30500,0,461229.66
31, ACANCEH,81435.31,0,2461521.49,2542956.8
31, AKIL,752556.5,0,0,752556.5
31, BOKOBA,3494.96,0,0,3494.96
31, BUCTZOTZ,345183.65,0,85879.69,431063.34
31, CACALCHEN,77726.76,0,0,77726.76
31, CANSAHCAB,794.2,18996.07,0,19790.27
31, CANTAMAYEC,56636.22,0,0,56636.22
31, CELESTUN,0,0,68174309.5,68174309.5
31, CENOTILLO,0,0,115314.45,115314.45
31, CHACZINKIN,18334.93,11021.01,0,29355.94
31, CHANKOM,227165.13,0,0,227165.13
31, CHEMAX,835073.66,0,0,835073.66
31, CHICHIMILA,159702.75,0,0,159702.75
31, CHICXULUB,0,0,3370644.57,3370644.57
31, CHIKINDZONOT,239292.86,0,0,239292.86
31, CHOCHOLA,0,0,90923.08,90923.08
31, CONKAL,0,0,114553.28,114553.28
31, CUNCUNUL,84073.83,0,0,84073.83
31, DZILAM DE BRAVO,0,0,23401742.26,23401742.26
31, DZILAM GONZALEZ,153886.08,450000,0,603886.08
31, DZITAS,68365.82,0,0,68365.82
31, DZONCAUICH,165126.41,4641.87,0,169768.28
31, ESPITA,255382.35,1110000,0,1365382.35
31, HALACHO,85423.24,8518.96,623668.82,717611.02
31, HOCABA,334.56,0,0,334.56
31, HOCTUN,14585.6,0,0,14585.6
31, HOMUN,1780.26,0,0,1780.26
31, HUNUCMA,350000,0,16868579.87,17218579.87
31, IZAMAL,1084373.09,43197.16,0,1127570.25
31, KANASIN,0,1229249.97,500000,1729249.97
31, KANTUNIL,51577.9,19158.88,0,70736.78
31, KAUA,102244.22,65647.05,0,167891.27
31, KINCHIL,13563.29,9301.23,0,22864.52
31, MAMA,23084.52,0,0,23084.52
31, MAXCANU,158846.57,408528.35,0,567374.92
31, MERIDA,1246151.03,2584062.75,538847986.34,542678200.12
31, MOCOCHA,0,0,696382.49,696382.49
31, MOTUL,679810.09,170999.99,0,850810.08
31, MUNA,3190571.44,0,3715173.78,6905745.22
31, MUXUPIP,38901.96,0,700477.75,739379.71
31, OXKUTZCAB,10898166.96,100000,0,10998166.96
31, PANABA,271306.55,0,0,271306.55
31, PETO,704533.51,1202.3,0,705735.81
